"","x"
"639",2
"640",1
"641",1
"642",2
"643",1
"644",1
"645",20
"646",1
"647",16
"648",10
"649",11
"650",1
"651",2
"652",11
"653",1
"654",1
"655",1
"656",1
"657",1
"658",2
"659",1
"660",2
"661",1
"662",5
"663",1
"664",4
"665",1
"666",1
"667",1
"668",3
"669",1
"670",1
"671",1
"672",1
"673",1
"674",25
"675",1
"676",1
"677",33
"678",1
"679",1
"680",2
"681",1
"682",1
"683",5
"684",3
"685",1
"686",6
"687",1
"688",1
"689",6
"690",1
"691",14
"692",1
"693",1
"694",1
"695",14
"696",1
"697",1
"698",3
"699",1
"700",1
"701",14
"702",5
"703",2
"704",1
"705",2
"706",76
"707",6
"708",4
"709",1
"710",1
"711",1
"712",25
"713",1
"714",19
"715",1
"716",2
"717",270
"718",18
"719",1
"720",1
"721",4
"722",3
"723",4
"724",1
"725",1
"726",1
"727",1
"728",1
"729",3
"730",1
"731",20
"732",3
"733",3
"734",1
"735",1
"736",1
"737",1
"738",1
"739",6
"740",1
"741",8
"742",8
"743",2
"744",1
"745",1
"746",1
"747",164
"748",1
"749",1
"750",1
"751",7
"752",1
"753",1
"754",4
"755",1
"756",1
"757",5
"758",2
"759",1
"760",1
"761",11
"762",4
"763",1
"764",1
"765",5
"766",1
"767",1
"768",1
"769",1
"770",31
"771",2
"772",1
"773",1
"774",5
"775",1
"776",2
"777",1
"778",1
"779",6
"780",2
"781",1
"782",1
"783",1
"784",9
"785",5
"786",1
"787",9
"788",4
"789",2
"790",6
"791",1
"792",7
"793",1
"794",1
"795",11
"796",1
"797",1
"798",1
"799",200
"800",2
"801",1
"802",1
"803",1
"804",6
"805",1
"806",15
"807",1
"808",5
"809",11
"810",2
"811",4
"812",21
"813",1
"814",1
"815",3
"816",1
"817",1
"818",1
"819",1
"820",1
"821",7
"822",2
"823",1
"824",43
"825",1
"826",1
"827",1
"828",47
"829",1
"830",5
"831",91
"832",1
"833",1
"834",1
"835",1
"836",2
"837",1
"838",2
"839",9
"840",2
"841",1
"842",1
"843",16
"844",27
"845",1
"846",1
"847",1
"848",1
"849",1
"850",1
"851",2
"852",6
"853",1
"854",38
"855",1
"856",1
"857",1
"858",2
"859",3
"860",2
"861",1
"862",5
"863",1
"864",5
"865",12
"866",4
"867",1
"868",5
"869",1
"870",1
"871",1
"872",2
"873",1
"874",1
"875",1
"876",1
"877",1
"878",5
"879",1
"880",1
"881",1
"882",1
"883",1
"884",2
"885",5
"886",3
"887",2
"888",5
"889",1
"890",3
"891",3
"892",1
"893",2
"894",2
"895",1
"896",2
"897",2231
"898",2
"899",3
"900",3
"901",9
"902",2
"903",5
"904",1
"905",6
"906",1
"907",1
"908",7
"909",1
"910",1
"911",3
"912",1
"913",1
"914",1
"915",1
"916",1
"917",3
"918",2
"919",1
"920",1
"921",159
"922",7
"923",1
"924",1
"925",1
"926",1
"927",4
"928",1
"929",1
"930",15
"931",24
"932",1
"933",1
"934",1
"935",39
"936",115
"937",2
"938",2
"939",25
"940",19
"941",1
"942",2
"943",1
"944",1
"945",2
"946",79
"947",1
"948",2
"949",1
"950",3
"951",47
"952",1
"953",2
"954",1
"955",2
"956",1
"957",1
"958",1
"959",1
"960",2
"961",1
"962",5
"963",1
"964",2
"965",1
"966",23
"967",3
"968",1
"969",1
"970",1
"971",1
