"","x"
"1",383
"2",14
"3",1
"4",1
"5",2
"6",1
"7",1
"8",9
"9",2
"10",1
"11",4
"12",32
"13",2
"14",2
"15",1
"16",2
"17",3
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",10
"25",1
"26",49
"27",1
"28",3
"29",2
"30",1
"31",2
"32",3
"33",1
"34",3
"35",1
"36",2
"37",5
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",2
"46",52
"47",1
"48",1
"49",1
"50",3
"51",1
"52",1
"53",1
"54",2
"55",1
"56",2
"57",5
"58",2
"59",1
"60",1
"61",1
"62",1
"63",1
"64",2
"65",2
"66",2
"67",1
"68",1
"69",1
"70",57
"71",1
"72",16
"73",3
"74",1
"75",1
"76",14
"77",21
"78",1
"79",3
"80",1
"81",2
"82",1
"83",50
"84",2
"85",19
"86",3
"87",1
"88",1
"89",4
"90",4
"91",7
"92",6
"93",3
"94",1
"95",2
"96",4
"97",2
"98",1
"99",1
"100",1
"101",3
"102",1
"103",14
"104",2
"105",2
"106",1
"107",2
"108",49
"109",1
"110",1
"111",11
"112",1
"113",2
"114",1
"115",1
"116",1
"117",1
"118",1
"119",2
"120",2
"121",1
"122",6
"123",18
"124",1
"125",1
"126",1
"127",3
"128",1
"129",1
"130",1
"131",5
"132",1
"133",2
"134",2
"135",1
"136",25
"137",2
"138",3
"139",1
"140",1
"141",3
"142",1
"143",14
"144",1
"145",4
"146",1
"147",1
"148",5
"149",11
"150",3
"151",3
"152",8
"153",2
"154",1
"155",55
"156",1
"157",43
"158",1
"159",37
"160",2
"161",1
"162",2
"163",3
"164",2
"165",1
"166",1
"167",1
"168",9
"169",1
"170",10
"171",3
"172",100
"173",1
"174",1
"175",2
"176",1
"177",1
"178",27
"179",4
"180",1
"181",2
"182",1
"183",6
"184",1
"185",1
"186",1
"187",2
"188",1
"189",1
"190",5
"191",51
"192",1
"193",1
"194",3
"195",18
"196",11
"197",42
"198",1
"199",4
"200",1
"201",8
"202",1
"203",1
"204",1
"205",108
"206",1
"207",2
"208",5
"209",1
"210",4
"211",1
"212",1
"213",1
"214",1
"215",1
"216",2
"217",2
"218",1
"219",10
"220",5
"221",1
"222",36
"223",2
"224",6
"225",9
"226",40
"227",18
"228",2
"229",1
"230",53
"231",7
"232",1
"233",1
"234",2
"235",3
"236",2
"237",3
"238",2
"239",1
"240",1
"241",3
"242",2
"243",1
"244",1
"245",1
"246",1
"247",2
"248",4
"249",1
"250",1
"251",8
"252",1
"253",1
"254",12
"255",3
"256",1
"257",3
"258",1
"259",3
"260",1
"261",1
"262",4
"263",1
"264",4
"265",1
"266",1
"267",1
"268",1
"269",1
"270",3
"271",1
"272",1
"273",1
"274",1
"275",2
"276",2
"277",1
"278",1
"279",41
"280",1
"281",1
"282",54
"283",384
