"","x"
"1",2
"2",1
"3",1
"4",9
"5",2
"6",1
"7",4
"8",32
"9",2
"10",2
"11",1
"12",2
"13",3
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",10
"21",1
"22",49
"23",1
"24",3
"25",2
"26",1
"27",2
"28",3
"29",1
"30",3
"31",1
"32",2
"33",5
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",2
"42",52
"43",1
"44",1
"45",1
"46",3
"47",1
"48",1
"49",1
"50",2
"51",1
"52",2
"53",5
"54",2
"55",1
"56",1
"57",1
"58",1
"59",1
"60",2
"61",2
"62",2
"63",1
"64",1
"65",1
"66",57
"67",1
"68",16
"69",3
"70",1
"71",1
"72",14
"73",21
"74",1
"75",3
"76",1
"77",2
"78",1
"79",50
"80",2
"81",19
"82",3
"83",1
"84",1
"85",4
"86",4
"87",7
"88",6
"89",3
"90",1
"91",2
"92",4
"93",2
"94",1
"95",1
"96",1
"97",3
"98",1
"99",14
"100",2
"101",2
"102",1
"103",2
"104",49
"105",1
"106",1
"107",11
"108",1
"109",2
"110",1
"111",1
"112",1
"113",1
"114",1
"115",2
"116",2
"117",1
"118",6
"119",18
"120",1
"121",1
"122",1
"123",3
"124",1
"125",1
"126",1
"127",5
"128",1
"129",2
"130",2
"131",1
"132",25
"133",2
"134",3
"135",1
"136",1
"137",3
"138",1
"139",14
"140",1
"141",4
"142",1
"143",1
"144",5
"145",11
"146",3
"147",3
"148",8
"149",2
"150",1
"151",55
"152",1
"153",43
"154",1
"155",37
"156",2
"157",1
"158",2
"159",3
"160",2
"161",1
"162",1
"163",1
"164",9
"165",1
"166",10
"167",3
"168",100
"169",1
"170",1
"171",2
"172",1
"173",1
"174",27
"175",4
"176",1
"177",2
"178",1
"179",6
"180",1
"181",1
"182",1
"183",2
"184",1
"185",1
"186",5
"187",51
"188",1
"189",1
"190",3
"191",18
"192",11
"193",42
"194",1
"195",4
"196",1
"197",8
"198",1
"199",1
"200",1
"201",108
"202",1
"203",2
"204",5
"205",1
"206",4
"207",1
"208",1
"209",1
"210",1
"211",1
"212",2
"213",2
"214",1
"215",10
"216",5
"217",1
"218",36
"219",2
"220",6
"221",9
"222",40
"223",18
"224",2
"225",1
"226",53
"227",7
"228",1
"229",1
"230",2
"231",3
"232",2
"233",3
"234",2
"235",1
"236",1
"237",3
"238",2
"239",1
"240",1
"241",1
"242",1
"243",2
"244",4
"245",1
"246",1
"247",8
"248",1
"249",1
"250",12
"251",3
"252",1
"253",3
"254",1
"255",3
"256",1
"257",1
"258",4
"259",1
"260",4
"261",1
"262",1
"263",1
"264",1
"265",1
"266",3
"267",1
"268",1
"269",1
"270",1
"271",2
"272",2
"273",1
"274",1
"275",41
"276",1
"277",1
"278",54
"279",384
"280",2467
"281",3
"282",1
"283",1
"284",1
"285",7
"286",33
"287",1
"288",1
"289",1
"290",1
"291",1
"292",1
"293",6
"294",6
"295",1
"296",1
"297",1
"298",1
"299",1
"300",1
"301",1
"302",2
"303",13
"304",4
"305",1
"306",625
"307",1
"308",1
"309",3
"310",1
"311",6
"312",2
"313",1
"314",1
"315",4
"316",1
"317",17
"318",1
"319",1
"320",1
"321",1
"322",1
"323",1
"324",4
"325",6
"326",32
"327",1
"328",1
"329",2
"330",1
"331",1
"332",2
"333",8
"334",3
"335",172
"336",2
"337",1
"338",2
"339",2
"340",10
"341",1
"342",267
"343",1
"344",1
"345",1
"346",2
"347",27
"348",1
"349",2
"350",2
"351",208
"352",1
"353",2
"354",1
"355",2
"356",1
"357",1
"358",1
"359",37
"360",2
"361",8
"362",1
"363",1
"364",4
"365",1
"366",1
"367",1
"368",1
"369",1
"370",1
"371",1
"372",5
"373",3
"374",3
"375",3
"376",2
"377",8
"378",2
"379",1
"380",1
"381",3
"382",7
"383",2
"384",1
"385",28
"386",1
"387",1
"388",1
"389",43
"390",9
"391",1
"392",1
"393",1
"394",1
"395",10
"396",1
"397",1
"398",5
"399",10
"400",9
"401",2
"402",2
"403",13
"404",1
"405",2
"406",3
"407",1
"408",2
"409",4
"410",3
"411",2
"412",6
"413",1
"414",1
"415",1
"416",5
"417",1
"418",8
"419",1
"420",14
"421",1
"422",10
"423",2
"424",2
"425",1
"426",2
"427",3
"428",3
"429",2
"430",1
"431",6
"432",1
"433",1
"434",2
"435",21
"436",1
"437",1
"438",1
"439",1
"440",2
"441",3
"442",1
"443",1
"444",1
"445",1
"446",1
"447",3
"448",1
"449",1
"450",1
"451",1
"452",13
"453",1
"454",13
"455",1
"456",2
"457",96
"458",1
"459",1
"460",1
"461",4
"462",1
"463",1
"464",1
"465",1
"466",4
"467",12
"468",24
"469",14
"470",5
"471",1
"472",3
"473",1
"474",5
"475",3
"476",14
"477",1
"478",1
"479",1
"480",1
"481",1
"482",1
"483",1
"484",1
"485",1
"486",4
"487",2
"488",4
"489",6
"490",1
"491",5
"492",2
"493",1
"494",3
"495",1
"496",113
"497",3
"498",1
"499",7
"500",17
"501",5
"502",1
"503",3
"504",1
"505",1
"506",24
"507",2
"508",1
"509",1
"510",2
"511",1
"512",1
"513",2
"514",1
"515",1
"516",1
"517",1
"518",1
"519",4
"520",2
"521",1
"522",10
"523",1
"524",34
"525",1
"526",1
"527",1
"528",1
"529",1
"530",1
"531",1
"532",4
"533",4
"534",1
"535",1
"536",1
"537",2
"538",2
"539",8
"540",2
"541",7
"542",1
"543",7
"544",1
"545",1
"546",1
"547",1
"548",1
"549",1
"550",1
"551",2
"552",2151
"553",1
"554",1
"555",1
"556",8
"557",1
"558",1
"559",4
"560",1
"561",2
"562",1
"563",2
"564",2
"565",1
"566",192
"567",1
"568",1
"569",1
"570",1
"571",5
"572",1
"573",34
"574",1
"575",2
"576",3
"577",9
"578",1
"579",2
"580",2
"581",1
"582",7
"583",2
"584",2
"585",314
"586",25
"587",1
"588",1
"589",1
"590",2
"591",3
"592",26
"593",1
"594",1
"595",1
"596",1
"597",1
"598",1
"599",1
"600",4
"601",1
"602",6
"603",2
"604",2
"605",164
"606",1
"607",3
"608",1
"609",1
"610",13
"611",1
"612",1
"613",11
"614",5
"615",1
"616",8
"617",4
"618",6
"619",1
"620",2
"621",1
"622",1
"623",7
"624",1
"625",12
"626",1
"627",17
"628",337
"629",2
"630",1
"631",1
"632",1
"633",5
"634",1
"635",2
"636",5
"637",2
"638",1
"639",1
"640",2
"641",1
"642",1
"643",20
"644",1
"645",16
"646",10
"647",11
"648",1
"649",2
"650",11
"651",1
"652",1
"653",1
"654",1
"655",1
"656",2
"657",1
"658",2
"659",1
"660",5
"661",1
"662",4
"663",1
"664",1
"665",1
"666",3
"667",1
"668",1
"669",1
"670",1
"671",1
"672",25
"673",1
"674",1
"675",33
"676",1
"677",1
"678",2
"679",1
"680",1
"681",5
"682",3
"683",1
"684",6
"685",1
"686",1
"687",6
"688",1
"689",14
"690",1
"691",1
"692",1
"693",14
"694",1
"695",1
"696",3
"697",1
"698",1
"699",14
"700",5
"701",2
"702",1
"703",2
"704",76
"705",6
"706",4
"707",1
"708",1
"709",1
"710",25
"711",1
"712",19
"713",1
"714",2
"715",270
"716",18
"717",1
"718",1
"719",4
"720",3
"721",4
"722",1
"723",1
"724",1
"725",1
"726",1
"727",3
"728",1
"729",20
"730",3
"731",3
"732",1
"733",1
"734",1
"735",1
"736",1
"737",6
"738",1
"739",8
"740",8
"741",2
"742",1
"743",1
"744",1
"745",164
"746",1
"747",1
"748",1
"749",7
"750",1
"751",1
"752",4
"753",1
"754",1
"755",5
"756",2
"757",1
"758",1
"759",11
"760",4
"761",1
"762",1
"763",5
"764",1
"765",1
"766",1
"767",1
"768",31
"769",2
"770",1
"771",1
"772",5
"773",1
"774",2
"775",1
"776",1
"777",6
"778",2
"779",1
"780",1
"781",1
"782",9
"783",5
"784",1
"785",9
"786",4
"787",2
"788",6
"789",1
"790",7
"791",1
"792",1
"793",11
"794",1
"795",1
"796",1
"797",200
"798",2
"799",1
"800",1
"801",1
"802",6
"803",1
"804",15
"805",1
"806",5
"807",11
"808",2
"809",4
"810",21
"811",1
"812",1
"813",3
"814",1
"815",1
"816",1
"817",1
"818",1
"819",7
"820",2
"821",1
"822",43
"823",1
"824",1
"825",1
"826",47
"827",1
"828",5
"829",91
"830",1
"831",1
"832",1
"833",1
"834",2
"835",1
"836",2
"837",9
"838",2
"839",1
"840",1
"841",16
"842",27
"843",1
"844",1
"845",1
"846",1
"847",1
"848",1
"849",2
"850",6
"851",1
"852",38
"853",1
"854",1
"855",1
"856",2
"857",3
"858",2
"859",1
"860",5
"861",1
"862",5
"863",12
"864",4
"865",1
"866",5
"867",1
"868",1
"869",1
"870",2
"871",1
"872",1
"873",1
"874",1
"875",1
"876",5
"877",1
"878",1
"879",1
"880",1
"881",1
"882",2
