"","x"
"1",3
"2",2603
"3",383
"4",14
"5",1
"6",1
"7",2
"8",1
"9",1
"10",9
"11",2
"12",1
"13",4
"14",32
"15",2
"16",2
"17",1
"18",2
"19",3
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",10
"27",1
"28",49
"29",1
"30",3
"31",2
"32",1
"33",2
"34",3
"35",1
"36",3
"37",1
"38",2
"39",5
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",2
"48",52
"49",1
"50",1
"51",1
"52",3
"53",1
"54",1
"55",1
"56",2
"57",1
"58",2
"59",5
"60",2
"61",1
"62",1
"63",1
"64",1
"65",1
"66",2
"67",2
"68",2
"69",1
"70",1
"71",1
"72",57
"73",1
"74",16
"75",3
"76",1
"77",1
"78",14
"79",21
"80",1
"81",3
"82",1
"83",2
"84",1
"85",50
"86",2
"87",19
"88",3
"89",1
"90",1
"91",4
"92",4
"93",7
"94",6
"95",3
"96",1
"97",2
"98",4
"99",2
"100",1
"101",1
"102",1
"103",3
"104",1
"105",14
"106",2
"107",2
"108",1
"109",2
"110",49
"111",1
"112",1
"113",11
"114",1
"115",2
"116",1
"117",1
"118",1
"119",1
"120",1
"121",2
"122",2
"123",1
"124",6
"125",18
"126",1
"127",1
"128",1
"129",3
"130",1
"131",1
"132",1
"133",5
"134",1
"135",2
"136",2
"137",1
"138",25
"139",2
"140",3
"141",1
"142",1
"143",3
"144",1
"145",14
"146",1
"147",4
"148",1
"149",1
"150",5
"151",11
"152",3
"153",3
"154",8
"155",2
"156",1
"157",55
"158",1
"159",43
"160",1
"161",37
"162",2
"163",1
"164",2
"165",3
"166",2
"167",1
"168",1
"169",1
"170",9
"171",1
"172",10
"173",3
"174",100
"175",1
"176",1
"177",2
"178",1
"179",1
"180",27
"181",4
"182",1
"183",2
"184",1
"185",6
"186",1
"187",1
"188",1
"189",2
"190",1
"191",1
"192",5
"193",51
"194",1
"195",1
"196",3
"197",18
"198",11
"199",42
"200",1
"201",4
"202",1
"203",8
"204",1
"205",1
"206",1
"207",108
"208",1
"209",2
"210",5
"211",1
"212",4
"213",1
"214",1
"215",1
"216",1
"217",1
"218",2
"219",2
"220",1
"221",10
"222",5
"223",1
"224",36
"225",2
"226",6
"227",9
"228",40
"229",18
"230",2
"231",1
"232",53
"233",7
"234",1
"235",1
"236",2
