"","x"
"1",11
"2",3
"3",2603
"4",383
"5",14
"6",1
"7",1
"8",2
"9",1
"10",1
"11",9
"12",2
"13",1
"14",4
"15",32
"16",2
"17",2
"18",1
"19",2
"20",3
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",10
"28",1
"29",49
"30",1
"31",3
"32",2
"33",1
"34",2
"35",3
"36",1
"37",3
"38",1
"39",2
"40",5
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",2
"49",52
"50",1
"51",1
"52",1
"53",3
"54",1
"55",1
"56",1
"57",2
"58",1
"59",2
"60",5
"61",2
"62",1
"63",1
"64",1
"65",1
"66",1
"67",2
"68",2
"69",2
"70",1
"71",1
"72",1
"73",57
"74",1
"75",16
"76",3
"77",1
"78",1
"79",14
"80",21
"81",1
"82",3
"83",1
"84",2
"85",1
"86",50
"87",2
"88",19
"89",3
"90",1
"91",1
"92",4
"93",4
"94",7
"95",6
"96",3
"97",1
"98",2
"99",4
"100",2
"101",1
"102",1
"103",1
"104",3
"105",1
"106",14
"107",2
"108",2
"109",1
"110",2
"111",49
"112",1
"113",1
"114",11
"115",1
"116",2
"117",1
"118",1
"119",1
"120",1
"121",1
"122",2
"123",2
"124",1
"125",6
"126",18
"127",1
"128",1
"129",1
"130",3
"131",1
"132",1
"133",1
"134",5
"135",1
"136",2
"137",2
"138",1
"139",25
"140",2
"141",3
"142",1
"143",1
"144",3
"145",1
"146",14
"147",1
"148",4
"149",1
"150",1
"151",5
"152",11
"153",3
"154",3
"155",8
"156",2
"157",1
"158",55
"159",1
"160",43
"161",1
"162",37
"163",2
"164",1
"165",2
"166",3
"167",2
"168",1
"169",1
"170",1
"171",9
"172",1
"173",10
"174",3
"175",100
"176",1
"177",1
"178",2
"179",1
"180",1
"181",27
"182",4
"183",1
"184",2
"185",1
"186",6
"187",1
"188",1
"189",1
"190",2
"191",1
"192",1
"193",5
"194",51
"195",1
"196",1
"197",3
"198",18
"199",11
"200",42
"201",1
"202",4
"203",1
"204",8
"205",1
"206",1
"207",1
"208",108
"209",1
"210",2
"211",5
"212",1
"213",4
"214",1
"215",1
"216",1
"217",1
"218",1
"219",2
"220",2
"221",1
"222",10
"223",5
"224",1
"225",36
"226",2
"227",6
"228",9
"229",40
"230",18
"231",2
"232",1
"233",53
"234",7
"235",1
"236",1
"237",2
"238",3
"239",2
"240",3
"241",2
"242",1
"243",1
"244",3
"245",2
"246",1
"247",1
"248",1
"249",1
"250",2
"251",4
"252",1
"253",1
"254",8
"255",1
"256",1
"257",12
"258",3
"259",1
"260",3
"261",1
"262",3
"263",1
"264",1
"265",4
"266",1
"267",4
"268",1
"269",1
"270",1
"271",1
"272",1
"273",3
"274",1
"275",1
"276",1
"277",1
"278",2
"279",2
"280",1
"281",1
"282",41
"283",1
"284",1
"285",54
"286",384
"287",2467
"288",3
"289",1
"290",1
"291",1
"292",7
"293",33
"294",1
"295",1
"296",1
"297",1
"298",1
"299",1
"300",6
"301",6
"302",1
"303",1
"304",1
"305",1
"306",1
"307",1
"308",1
"309",2
"310",13
"311",4
"312",1
"313",625
"314",1
"315",1
"316",3
"317",1
"318",6
"319",2
"320",1
"321",1
"322",4
"323",1
"324",17
"325",1
"326",1
"327",1
"328",1
"329",1
"330",1
"331",4
"332",6
"333",32
"334",1
"335",1
"336",2
"337",1
"338",1
"339",2
"340",8
"341",3
"342",172
"343",2
"344",1
"345",2
"346",2
"347",10
"348",1
"349",267
"350",1
"351",1
"352",1
"353",2
"354",27
"355",1
"356",2
"357",2
"358",208
"359",1
"360",2
"361",1
"362",2
"363",1
"364",1
"365",1
"366",37
"367",2
"368",8
"369",1
"370",1
"371",4
"372",1
"373",1
"374",1
"375",1
"376",1
"377",1
"378",1
"379",5
"380",3
"381",3
"382",3
"383",2
"384",8
"385",2
"386",1
"387",1
"388",3
"389",7
"390",2
"391",1
"392",28
"393",1
"394",1
"395",1
"396",43
