"","x"
"1",750
"2",11
"3",3
"4",2603
"5",383
"6",14
"7",1
"8",1
"9",2
"10",1
"11",1
"12",9
"13",2
"14",1
"15",4
"16",32
"17",2
"18",2
"19",1
"20",2
"21",3
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",10
"29",1
"30",49
"31",1
"32",3
"33",2
"34",1
"35",2
"36",3
"37",1
"38",3
"39",1
"40",2
"41",5
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",2
"50",52
"51",1
"52",1
"53",1
"54",3
"55",1
"56",1
"57",1
"58",2
"59",1
"60",2
"61",5
"62",2
"63",1
"64",1
"65",1
"66",1
"67",1
"68",2
"69",2
"70",2
"71",1
"72",1
"73",1
"74",57
"75",1
"76",16
"77",3
"78",1
"79",1
"80",14
"81",21
"82",1
"83",3
"84",1
"85",2
"86",1
"87",50
"88",2
"89",19
"90",3
"91",1
"92",1
"93",4
"94",4
"95",7
"96",6
"97",3
"98",1
"99",2
"100",4
"101",2
"102",1
"103",1
"104",1
"105",3
"106",1
"107",14
"108",2
"109",2
"110",1
"111",2
"112",49
"113",1
"114",1
"115",11
"116",1
"117",2
"118",1
"119",1
"120",1
"121",1
"122",1
"123",2
"124",2
"125",1
"126",6
"127",18
"128",1
"129",1
"130",1
"131",3
"132",1
"133",1
"134",1
"135",5
"136",1
"137",2
"138",2
"139",1
"140",25
"141",2
"142",3
"143",1
"144",1
"145",3
"146",1
"147",14
"148",1
"149",4
"150",1
"151",1
"152",5
"153",11
"154",3
"155",3
"156",8
"157",2
"158",1
"159",55
"160",1
"161",43
"162",1
"163",37
"164",2
"165",1
"166",2
"167",3
"168",2
"169",1
"170",1
"171",1
"172",9
"173",1
"174",10
"175",3
"176",100
"177",1
"178",1
"179",2
"180",1
"181",1
"182",27
"183",4
"184",1
"185",2
"186",1
"187",6
"188",1
"189",1
"190",1
"191",2
"192",1
"193",1
"194",5
"195",51
"196",1
"197",1
"198",3
"199",18
"200",11
"201",42
"202",1
"203",4
"204",1
"205",8
"206",1
"207",1
"208",1
"209",108
"210",1
"211",2
"212",5
"213",1
"214",4
"215",1
"216",1
"217",1
"218",1
"219",1
"220",2
"221",2
"222",1
"223",10
"224",5
"225",1
"226",36
"227",2
"228",6
"229",9
"230",40
"231",18
"232",2
"233",1
"234",53
"235",7
"236",1
"237",1
"238",2
"239",3
"240",2
"241",3
"242",2
"243",1
"244",1
"245",3
"246",2
"247",1
"248",1
"249",1
"250",1
"251",2
"252",4
"253",1
"254",1
"255",8
"256",1
"257",1
"258",12
"259",3
"260",1
"261",3
"262",1
"263",3
"264",1
"265",1
"266",4
"267",1
"268",4
"269",1
