"","x"
"1",2603
"2",383
"3",14
"4",1
"5",1
"6",2
"7",1
"8",1
"9",9
"10",2
"11",1
"12",4
"13",32
"14",2
"15",2
"16",1
"17",2
"18",3
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",10
"26",1
"27",49
"28",1
"29",3
"30",2
"31",1
"32",2
"33",3
"34",1
"35",3
"36",1
"37",2
"38",5
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",2
"47",52
"48",1
"49",1
"50",1
"51",3
"52",1
"53",1
"54",1
"55",2
"56",1
"57",2
"58",5
"59",2
"60",1
"61",1
"62",1
"63",1
"64",1
"65",2
"66",2
"67",2
"68",1
"69",1
"70",1
"71",57
"72",1
"73",16
"74",3
"75",1
"76",1
"77",14
"78",21
"79",1
"80",3
"81",1
"82",2
"83",1
"84",50
"85",2
"86",19
"87",3
"88",1
"89",1
"90",4
"91",4
"92",7
"93",6
"94",3
"95",1
"96",2
"97",4
"98",2
"99",1
"100",1
"101",1
"102",3
"103",1
"104",14
"105",2
"106",2
"107",1
"108",2
"109",49
"110",1
"111",1
"112",11
"113",1
"114",2
"115",1
"116",1
"117",1
"118",1
"119",1
"120",2
"121",2
"122",1
"123",6
"124",18
"125",1
"126",1
"127",1
"128",3
"129",1
"130",1
"131",1
"132",5
"133",1
"134",2
"135",2
"136",1
"137",25
"138",2
"139",3
"140",1
"141",1
"142",3
"143",1
"144",14
"145",1
"146",4
"147",1
"148",1
"149",5
"150",11
"151",3
"152",3
"153",8
"154",2
"155",1
"156",55
"157",1
"158",43
"159",1
"160",37
"161",2
"162",1
"163",2
"164",3
"165",2
"166",1
"167",1
"168",1
"169",9
"170",1
"171",10
"172",3
"173",100
"174",1
"175",1
"176",2
"177",1
"178",1
"179",27
"180",4
"181",1
"182",2
"183",1
"184",6
"185",1
"186",1
"187",1
"188",2
"189",1
"190",1
"191",5
"192",51
"193",1
"194",1
"195",3
"196",18
"197",11
"198",42
"199",1
"200",4
"201",1
"202",8
"203",1
"204",1
"205",1
"206",108
"207",1
"208",2
"209",5
"210",1
"211",4
"212",1
"213",1
"214",1
"215",1
"216",1
"217",2
"218",2
"219",1
"220",10
"221",5
"222",1
"223",36
"224",2
"225",6
"226",9
"227",40
"228",18
"229",2
"230",1
"231",53
"232",7
"233",1
"234",1
"235",2
"236",3
"237",2
"238",3
"239",2
"240",1
"241",1
"242",3
"243",2
"244",1
"245",1
"246",1
"247",1
"248",2
"249",4
"250",1
"251",1
"252",8
"253",1
"254",1
"255",12
"256",3
"257",1
"258",3
"259",1
"260",3
"261",1
"262",1
"263",4
"264",1
"265",4
"266",1
"267",1
"268",1
"269",1
"270",1
"271",3
"272",1
"273",1
"274",1
"275",1
"276",2
"277",2
"278",1
"279",1
"280",41
"281",1
"282",1
"283",54
"284",384
"285",2467
"286",3
"287",1
"288",1
"289",1
"290",7
"291",33
"292",1
"293",1
"294",1
"295",1
"296",1
"297",1
"298",6
"299",6
"300",1
"301",1
"302",1
"303",1
"304",1
"305",1
"306",1
"307",2
"308",13
"309",4
"310",1
"311",625
"312",1
"313",1
"314",3
"315",1
"316",6
"317",2
"318",1
"319",1
"320",4
"321",1
"322",17
"323",1
"324",1
"325",1
"326",1
"327",1
"328",1
"329",4
"330",6
"331",32
"332",1
"333",1
"334",2
"335",1
"336",1
"337",2
"338",8
"339",3
"340",172
"341",2
"342",1
"343",2
"344",2
"345",10
"346",1
"347",267
"348",1
"349",1
"350",1
"351",2
"352",27
"353",1
"354",2
"355",2
"356",208
"357",1
"358",2
"359",1
"360",2
"361",1
"362",1
"363",1
"364",37
"365",2
"366",8
"367",1
"368",1
"369",4
"370",1
"371",1
"372",1
"373",1
"374",1
"375",1
"376",1
"377",5
"378",3
"379",3
"380",3
"381",2
"382",8
"383",2
"384",1
"385",1
"386",3
"387",7
"388",2
"389",1
"390",28
"391",1
"392",1
"393",1
"394",43
"395",9
"396",1
"397",1
"398",1
"399",1
"400",10
"401",1
"402",1
"403",5
"404",10
"405",9
"406",2
"407",2
"408",13
"409",1
"410",2
"411",3
"412",1
"413",2
"414",4
"415",3
"416",2
"417",6
"418",1
"419",1
"420",1
"421",5
"422",1
"423",8
"424",1
"425",14
"426",1
"427",10
"428",2
"429",2
"430",1
"431",2
"432",3
"433",3
"434",2
"435",1
"436",6
"437",1
"438",1
"439",2
"440",21
"441",1
"442",1
"443",1
"444",1
"445",2
"446",3
"447",1
"448",1
"449",1
"450",1
"451",1
"452",3
"453",1
"454",1
"455",1
"456",1
"457",13
"458",1
"459",13
"460",1
"461",2
"462",96
"463",1
"464",1
"465",1
"466",4
"467",1
"468",1
"469",1
"470",1
"471",4
"472",12
"473",24
"474",14
"475",5
"476",1
"477",3
"478",1
"479",5
"480",3
"481",14
"482",1
"483",1
"484",1
"485",1
"486",1
"487",1
"488",1
"489",1
"490",1
"491",4
"492",2
"493",4
"494",6
"495",1
"496",5
"497",2
"498",1
"499",3
"500",1
"501",113
"502",3
"503",1
"504",7
"505",17
"506",5
"507",1
"508",3
"509",1
"510",1
"511",24
"512",2
"513",1
"514",1
"515",2
"516",1
"517",1
"518",2
"519",1
"520",1
"521",1
"522",1
"523",1
"524",4
"525",2
"526",1
"527",10
"528",1
"529",34
"530",1
"531",1
"532",1
"533",1
"534",1
"535",1
"536",1
"537",4
"538",4
"539",1
"540",1
"541",1
"542",2
"543",2
"544",8
"545",2
"546",7
"547",1
"548",7
"549",1
"550",1
"551",1
"552",1
"553",1
"554",1
"555",1
"556",2
"557",2151
"558",1
"559",1
"560",1
"561",8
"562",1
"563",1
"564",4
"565",1
"566",2
"567",1
"568",2
"569",2
"570",1
"571",192
"572",1
"573",1
"574",1
"575",1
"576",5
"577",1
"578",34
"579",1
"580",2
"581",3
"582",9
"583",1
"584",2
"585",2
"586",1
"587",7
"588",2
"589",2
"590",314
"591",25
"592",1
"593",1
"594",1
"595",2
"596",3
"597",26
"598",1
"599",1
"600",1
"601",1
"602",1
"603",1
"604",1
"605",4
"606",1
"607",6
"608",2
"609",2
"610",164
"611",1
"612",3
"613",1
"614",1
"615",13
"616",1
"617",1
"618",11
"619",5
"620",1
"621",8
"622",4
"623",6
"624",1
"625",2
"626",1
"627",1
"628",7
"629",1
"630",12
"631",1
"632",17
"633",337
"634",2
"635",1
"636",1
"637",1
"638",5
"639",1
"640",2
"641",5
"642",2
"643",1
"644",1
"645",2
"646",1
"647",1
"648",20
"649",1
"650",16
"651",10
"652",11
"653",1
"654",2
"655",11
"656",1
"657",1
"658",1
"659",1
"660",1
"661",2
"662",1
"663",2
"664",1
"665",5
"666",1
"667",4
"668",1
"669",1
"670",1
"671",3
"672",1
"673",1
"674",1
"675",1
"676",1
"677",25
"678",1
"679",1
"680",33
"681",1
"682",1
"683",2
"684",1
"685",1
"686",5
"687",3
"688",1
"689",6
"690",1
"691",1
"692",6
"693",1
"694",14
"695",1
"696",1
"697",1
"698",14
"699",1
"700",1
"701",3
"702",1
"703",1
"704",14
"705",5
"706",2
"707",1
"708",2
"709",76
"710",6
"711",4
"712",1
"713",1
"714",1
"715",25
"716",1
"717",19
"718",1
"719",2
"720",270
"721",18
"722",1
