"","x"
"1",1
"2",9
"3",2
"4",1
"5",4
"6",32
"7",2
"8",2
"9",1
"10",2
"11",3
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",10
"19",1
"20",49
"21",1
"22",3
"23",2
"24",1
"25",2
"26",3
"27",1
"28",3
"29",1
"30",2
"31",5
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",2
"40",52
"41",1
"42",1
"43",1
"44",3
"45",1
"46",1
"47",1
"48",2
"49",1
"50",2
"51",5
"52",2
"53",1
"54",1
"55",1
"56",1
"57",1
"58",2
"59",2
"60",2
"61",1
"62",1
"63",1
"64",57
"65",1
"66",16
"67",3
"68",1
"69",1
"70",14
"71",21
"72",1
"73",3
"74",1
"75",2
"76",1
"77",50
"78",2
"79",19
"80",3
"81",1
"82",1
"83",4
"84",4
"85",7
"86",6
"87",3
"88",1
"89",2
"90",4
"91",2
"92",1
"93",1
"94",1
"95",3
"96",1
"97",14
"98",2
"99",2
"100",1
"101",2
"102",49
"103",1
"104",1
"105",11
"106",1
"107",2
"108",1
"109",1
"110",1
"111",1
"112",1
"113",2
"114",2
"115",1
"116",6
"117",18
"118",1
"119",1
"120",1
"121",3
"122",1
"123",1
"124",1
"125",5
"126",1
"127",2
"128",2
"129",1
"130",25
"131",2
"132",3
"133",1
"134",1
"135",3
"136",1
"137",14
"138",1
"139",4
"140",1
"141",1
"142",5
"143",11
"144",3
"145",3
"146",8
"147",2
"148",1
"149",55
"150",1
"151",43
"152",1
"153",37
"154",2
"155",1
"156",2
"157",3
"158",2
"159",1
"160",1
"161",1
"162",9
"163",1
"164",10
"165",3
"166",100
"167",1
"168",1
"169",2
"170",1
"171",1
"172",27
"173",4
"174",1
"175",2
"176",1
"177",6
"178",1
"179",1
"180",1
"181",2
"182",1
"183",1
"184",5
"185",51
"186",1
"187",1
"188",3
"189",18
"190",11
"191",42
"192",1
"193",4
"194",1
"195",8
"196",1
"197",1
"198",1
"199",108
"200",1
"201",2
"202",5
"203",1
"204",4
"205",1
"206",1
"207",1
"208",1
"209",1
"210",2
"211",2
"212",1
"213",10
"214",5
"215",1
"216",36
"217",2
"218",6
"219",9
"220",40
"221",18
"222",2
"223",1
"224",53
"225",7
"226",1
"227",1
"228",2
"229",3
"230",2
"231",3
"232",2
"233",1
"234",1
"235",3
"236",2
"237",1
"238",1
"239",1
"240",1
"241",2
"242",4
"243",1
"244",1
"245",8
"246",1
"247",1
"248",12
"249",3
"250",1
"251",3
"252",1
"253",3
"254",1
"255",1
"256",4
"257",1
"258",4
"259",1
"260",1
"261",1
"262",1
"263",1
"264",3
"265",1
"266",1
"267",1
"268",1
"269",2
"270",2
"271",1
"272",1
"273",41
"274",1
"275",1
"276",54
"277",384
"278",2467
"279",3
"280",1
"281",1
"282",1
"283",7
"284",33
"285",1
"286",1
"287",1
"288",1
"289",1
"290",1
